FIXEDDEPOSITID,INVESTMENTACCOUNTID,PRINCIPALAMOUNT,INTERESTRATE,MATURITYDATE,INTERESTPAYMENTFREQUENCY,MATURITYAMOUNT
1744,RWTY52231645047557,785338,8.64,YYYY-53-DD 16:53:SS,Monthly,5552030
1745,TLQG74055341469862,275991,5.58,YYYY-49-DD 11:49:SS,Monthly,3285234
1746,QJKO96312105531241,400789,6.91,YYYY-48-DD 23:48:SS,Weekly,9375780
1747,JHUC10846070906596,602349,8.94,YYYY-28-DD 18:28:SS,Half Yearly,7631946
1748,PAEO73432563163685,24389,8.56,YYYY-50-DD 11:50:SS,Monthly,6795322
1749,TGNB95213129187560,665276,7.71,YYYY-21-DD 16:21:SS,Yearly,6693546
1750,ESRM99751469777180,876052,8.8,YYYY-47-DD 04:47:SS,Monthly,5364155
1751,EDQP91017025989801,804300,6.38,YYYY-25-DD 09:25:SS,Weekly,5094064
1752,UZWE77792793610473,62629,5.79,YYYY-51-DD 23:51:SS,Quarterly,2629850
1753,YIUB76404073617259,193788,6.51,YYYY-35-DD 22:35:SS,Half Yearly,2852098
1754,CGHD35287738230009,909803,5.29,YYYY-22-DD 18:22:SS,Weekly,7197357
1755,OYRC02206649602111,771888,8.3,YYYY-10-DD 05:10:SS,Quarterly,9135494
1756,ZPML09428988082045,296624,5.44,YYYY-00-DD 03:00:SS,Half Yearly,7014516
1757,BEHZ87274674896526,28216,7.8,YYYY-06-DD 21:06:SS,Daily,779993
1758,QYHE36531939383443,595890,6.87,YYYY-58-DD 23:58:SS,Weekly,2453217
1759,LJQC91008475474742,618990,6,YYYY-18-DD 15:18:SS,Quarterly,2803428
1760,GYAC67128783878991,768757,6.8,YYYY-40-DD 01:40:SS,Yearly,9947134
1761,LQDY22881446672908,772377,5.62,YYYY-46-DD 16:46:SS,Quarterly,861258
1762,IXSC95222038378496,890285,7.11,YYYY-12-DD 01:12:SS,Daily,9679656
1763,UMZM93407325425454,322653,6.81,YYYY-08-DD 06:08:SS,Quarterly,6926060
1764,FSAA29315889074984,814447,8.65,YYYY-37-DD 01:37:SS,Monthly,933165
1765,CEBJ20965984529403,884413,6.92,YYYY-58-DD 10:58:SS,Monthly,8918145
1766,HGJB17524469625840,16203,7.79,YYYY-43-DD 10:43:SS,Quarterly,5735056
1767,NZOO82935828996981,675134,8.22,YYYY-13-DD 11:13:SS,Quarterly,5749373
1768,BLWE48375404351568,13711,8.29,YYYY-35-DD 11:35:SS,Monthly,6523289
1769,SXHV40265796219425,978014,5.59,YYYY-06-DD 07:06:SS,Weekly,978039
1770,FHJU85732210462876,89355,6.37,YYYY-33-DD 04:33:SS,Weekly,6853247
1771,PWQT12459753412821,867660,5.89,YYYY-27-DD 13:27:SS,Yearly,4621875
1772,CYIF74703035980804,714865,8.99,YYYY-42-DD 11:42:SS,Monthly,1490913
1773,HUYQ41942116114909,180123,6.89,YYYY-49-DD 12:49:SS,Half Yearly,4945707
1774,NXOS13786231075756,541976,8.82,YYYY-24-DD 14:24:SS,Daily,5243076
1775,ULIW49236928583301,61431,5.15,YYYY-39-DD 11:39:SS,Quarterly,9166011
1776,DNTO27557913628421,575746,5.11,YYYY-57-DD 10:57:SS,Quarterly,7931913
1777,KYVO23914874523063,517065,5.59,YYYY-58-DD 09:58:SS,Quarterly,3656607
1778,PMWN09449998768107,985497,8.99,YYYY-44-DD 18:44:SS,Quarterly,3301821
1779,MDKX37460780466990,224321,6.43,YYYY-17-DD 21:17:SS,Half Yearly,3942847
1780,IYSV37785220200141,500598,5.65,YYYY-53-DD 20:53:SS,Yearly,6968696
1781,PSZH42472934107874,234271,5.75,YYYY-03-DD 16:03:SS,Monthly,7900819
1782,AUQB28389971953094,603177,8.22,YYYY-49-DD 15:49:SS,Daily,603181
1783,IDSV49360192468695,537225,7.15,YYYY-03-DD 11:03:SS,Monthly,2800299
1784,RNYN39284137558066,161069,6.56,YYYY-54-DD 05:54:SS,Weekly,9450224
1785,WZWX03466325416815,550833,7.45,YYYY-55-DD 12:55:SS,Weekly,7570887
1786,QBTO33354230308237,660279,6.52,YYYY-21-DD 01:21:SS,Half Yearly,660284
1787,KUHZ58359062099026,647191,7.42,YYYY-32-DD 17:32:SS,Half Yearly,7564421
1788,SQWH39500650271489,150099,8.1,YYYY-23-DD 21:23:SS,Weekly,5803699
1789,BEHZ87274674896526,533142,5.3,YYYY-20-DD 14:20:SS,Yearly,4522546
1790,YFSG86973367220153,229657,7.4,YYYY-10-DD 20:10:SS,Monthly,2054270
1791,ATRD17343211036838,728094,6.83,YYYY-29-DD 16:29:SS,Daily,728129
1792,AJLB99101906349299,22717,6.9,YYYY-35-DD 22:35:SS,Quarterly,7993100
1793,ZOMB89572117751175,853385,5.91,YYYY-39-DD 08:39:SS,Weekly,7551240
1794,BJCA48525734590559,488453,7.22,YYYY-29-DD 14:29:SS,Weekly,1096916
1795,ENUL70902777481959,952869,8.8,YYYY-10-DD 04:10:SS,Half Yearly,6068541
1796,HCDN53883892241195,502772,8.32,YYYY-58-DD 10:58:SS,Half Yearly,9126173
1797,IBIQ98494309190903,927355,6.34,YYYY-01-DD 18:01:SS,Monthly,2746109
1798,ZOMB89572117751175,385133,5.63,YYYY-56-DD 02:56:SS,Quarterly,6021785
1799,JCSS19672568560422,460646,5.24,YYYY-35-DD 17:35:SS,Daily,9980635
1800,QTMF67066168561211,533075,5.27,YYYY-35-DD 21:35:SS,Half Yearly,3830423
1801,LGLN03698108460419,143661,7.78,YYYY-30-DD 17:30:SS,Yearly,2695232
1802,BKJD12155927149542,486470,8.2,YYYY-55-DD 04:55:SS,Daily,6571317
1803,IOMG51124133152453,984270,8.28,YYYY-09-DD 14:09:SS,Daily,2276025
1804,DDIL62112404103633,148924,6.34,YYYY-16-DD 10:16:SS,Daily,6849830
1805,QJZJ66388590979483,553028,8.4,YYYY-36-DD 22:36:SS,Yearly,553064
1806,DFUT91961198854675,628770,6.93,YYYY-06-DD 09:06:SS,Half Yearly,5738371
1807,ZGYC64117594920108,409422,5.15,YYYY-56-DD 02:56:SS,Monthly,4648283
1808,CLPV28368363217484,802483,8.76,YYYY-09-DD 09:09:SS,Daily,1084765
1809,JGRE59230384080515,783449,8.85,YYYY-38-DD 10:38:SS,Yearly,9814480
1810,FHAR28991533991783,857971,7.66,YYYY-05-DD 17:05:SS,Yearly,858000
1811,VFIP74840496301006,840628,6.3,YYYY-44-DD 04:44:SS,Yearly,5944096
1812,JOLO88395535206427,649877,6.55,YYYY-26-DD 18:26:SS,Daily,8433163
1813,UYOR62639856961419,72879,7.37,YYYY-38-DD 19:38:SS,Quarterly,2839904
1814,ACTM90739393490718,383114,6.7,YYYY-32-DD 11:32:SS,Weekly,860351
1815,ROAA12423038566137,106613,7.88,YYYY-59-DD 12:59:SS,Weekly,4915377
1816,SXKL10326058990825,886450,5.69,YYYY-57-DD 21:57:SS,Weekly,886483
1817,PLJP55785332474337,903165,6.89,YYYY-16-DD 10:16:SS,Daily,6737709
1818,WVNK66739411658332,996140,6.86,YYYY-37-DD 09:37:SS,Daily,2715095
1819,UWHP34228334837459,62512,7.6,YYYY-20-DD 05:20:SS,Half Yearly,1893025
1820,KJEF45753126785459,708659,8.75,YYYY-01-DD 19:01:SS,Monthly,4794963
1821,ZVIB13736121870157,888461,8.56,YYYY-50-DD 16:50:SS,Daily,4174739
1822,POVH07781126403357,854030,7.12,YYYY-08-DD 04:08:SS,Quarterly,8470142
1823,EQAR05316805651925,451989,5.3,YYYY-15-DD 16:15:SS,Weekly,4008735
1824,NNIJ10664130122024,740174,7.16,YYYY-35-DD 08:35:SS,Weekly,4863231
1825,MSFM77333910326666,698477,6.92,YYYY-19-DD 05:19:SS,Quarterly,9373047
1826,NQWA00406966512479,852554,5.27,YYYY-48-DD 20:48:SS,Half Yearly,1345109
1827,PVDS58852655234518,261097,7.58,YYYY-02-DD 12:02:SS,Weekly,9236888
1828,NRBI68121112096476,482192,5.4,YYYY-16-DD 07:16:SS,Weekly,1014574
1829,CDQD86815964606004,256553,8.85,YYYY-55-DD 11:55:SS,Yearly,3018867
1830,XRDW65964429153926,839030,6.31,YYYY-31-DD 19:31:SS,Quarterly,7948818
1831,HRFA86320409629873,279286,8.16,YYYY-13-DD 18:13:SS,Monthly,7079126
1832,CWFK27893051679006,908557,8.2,YYYY-03-DD 06:03:SS,Weekly,1705189
1833,ICGR36111701600259,497668,7.6,YYYY-20-DD 10:20:SS,Monthly,4935774
1834,MGJB67510190876115,346906,8.99,YYYY-29-DD 06:29:SS,Monthly,8848884
1835,DNNB58818294337796,157367,7.32,YYYY-38-DD 07:38:SS,Yearly,175730
1836,KJEF45753126785459,955035,7.86,YYYY-27-DD 15:27:SS,Monthly,3984038
1837,UCIU41485432317359,682257,6.15,YYYY-16-DD 23:16:SS,Half Yearly,682286
1838,VUDY55687551491112,292202,7.59,YYYY-39-DD 18:39:SS,Weekly,3212667
1839,VDCC00976667956349,999741,6.89,YYYY-20-DD 15:20:SS,Daily,5370169
1840,KWON24570272666032,176051,8.47,YYYY-36-DD 17:36:SS,Yearly,2808804
1841,FHAR28991533991783,230726,5.35,YYYY-33-DD 17:33:SS,Yearly,8391207
1842,HEAU69476146554531,634813,8.23,YYYY-58-DD 03:58:SS,Half Yearly,8416126
1843,OBTD84995549256774,49175,8.92,YYYY-13-DD 04:13:SS,Half Yearly,5417439
1844,GFJB17467596404710,635425,6.84,YYYY-58-DD 08:58:SS,Yearly,2451719
1845,TKXO75664838752544,569330,8.2,YYYY-09-DD 23:09:SS,Weekly,5268151
1846,CYOV98346921485240,700784,6.9,YYYY-40-DD 02:40:SS,Monthly,971529
1847,QIXT59215441977114,522755,7.43,YYYY-25-DD 04:25:SS,Daily,522769
1848,AMIW57770809318244,619385,6.95,YYYY-18-DD 23:18:SS,Half Yearly,9020308
1849,EQAR05316805651925,837814,7.27,YYYY-07-DD 00:07:SS,Quarterly,1159810
1850,VIUK84323860844567,42612,6.38,YYYY-33-DD 14:33:SS,Weekly,2623129
1851,KYVO23914874523063,187383,8.96,YYYY-09-DD 03:09:SS,Quarterly,8850159
1852,HUQQ85819179505722,245531,5.64,YYYY-16-DD 02:16:SS,Monthly,8050111
1853,NESY90575113475798,854870,8.63,YYYY-02-DD 23:02:SS,Half Yearly,4793749
1854,TICY96221367901857,968033,6.8,YYYY-35-DD 16:35:SS,Weekly,9867588
1855,VZWB22682244426410,757203,7.26,YYYY-04-DD 16:04:SS,Quarterly,757219
1856,KBQB91405622659946,24614,6.87,YYYY-35-DD 13:35:SS,Weekly,8250917
1857,EJRP43207122561047,698559,5.66,YYYY-46-DD 09:46:SS,Daily,2064832
1858,PJJM32624946796563,187383,7.77,YYYY-00-DD 07:00:SS,Half Yearly,870282
1859,PLJP55785332474337,728319,8.92,YYYY-08-DD 22:08:SS,Weekly,9351952
1860,OPSG16008887049621,671588,6.54,YYYY-50-DD 12:50:SS,Quarterly,7045558
1861,LEUV79536205094688,929052,7.38,YYYY-50-DD 06:50:SS,Daily,3933325
1862,TLCX23577115178523,286807,7.61,YYYY-36-DD 07:36:SS,Yearly,1986786
1863,UFQD36656382113195,404780,5.23,YYYY-20-DD 21:20:SS,Yearly,6327032
1864,UEPS04550837470562,567153,5.78,YYYY-57-DD 23:57:SS,Daily,3749197
1865,FDWA99716586152101,934083,8.2,YYYY-15-DD 11:15:SS,Half Yearly,1307162
1866,CANK45738580460456,130451,8.92,YYYY-07-DD 09:07:SS,Daily,1785889
1867,SOPD45430805617635,248466,5.2,YYYY-38-DD 17:38:SS,Yearly,7708982
1868,JPXR38550764896743,546683,6.5,YYYY-08-DD 02:08:SS,Daily,546690
1869,OPOM36300654863584,809302,6.12,YYYY-42-DD 07:42:SS,Daily,9063653
1870,FXMZ58068941934575,198139,6.94,YYYY-39-DD 09:39:SS,Daily,8791841
1871,TZUA97720526573156,553905,8.68,YYYY-41-DD 20:41:SS,Yearly,553919
1872,CKJG99779049702290,941462,5.17,YYYY-29-DD 16:29:SS,Yearly,4062479
1873,HORE91172449873631,186376,7.66,YYYY-20-DD 04:20:SS,Monthly,9084750
1874,NMMI30589317183562,136016,8.38,YYYY-29-DD 06:29:SS,Half Yearly,6055270
1875,VGSI67530631599360,813950,7.72,YYYY-09-DD 21:09:SS,Monthly,6944023
1876,VLYC58556558407268,412253,5.79,YYYY-37-DD 23:37:SS,Daily,7886068
1877,FOZD33911249368505,624537,7.6,YYYY-15-DD 15:15:SS,Daily,9016598
1878,ZVKB34853459943476,469177,5.1,YYYY-59-DD 08:59:SS,Daily,6401507
1879,ZVKB34853459943476,736386,7.96,YYYY-25-DD 02:25:SS,Half Yearly,3967300
1880,YUSS05742106202444,47984,5.94,YYYY-15-DD 11:15:SS,Monthly,6521230
1881,TTLH94212331025910,147831,7.17,YYYY-13-DD 04:13:SS,Monthly,9549945
1882,IBKQ91092386539704,58134,7.93,YYYY-52-DD 13:52:SS,Daily,9274839
1883,ALZN76653468707984,899875,7.74,YYYY-40-DD 03:40:SS,Half Yearly,7153661
1884,HCDN53883892241195,253356,6.34,YYYY-20-DD 17:20:SS,Monthly,470080
1885,BZML34064990202208,66481,5.9,YYYY-12-DD 18:12:SS,Half Yearly,1715415
1886,BVWQ09775156925445,230225,8.26,YYYY-25-DD 03:25:SS,Weekly,649440
1887,MIIU40614785049077,320256,8.77,YYYY-50-DD 05:50:SS,Half Yearly,2587870
1888,ZXBC82884832429169,703665,6.98,YYYY-37-DD 04:37:SS,Quarterly,2050419
1889,UGNA07850232415179,797138,6.26,YYYY-46-DD 00:46:SS,Half Yearly,8548788
1890,NTZA28619387618412,640000,5.73,YYYY-08-DD 13:08:SS,Yearly,2256671
1891,USNG00983533173734,519402,5.47,YYYY-10-DD 18:10:SS,Yearly,9392153
1892,PWAU06055055395282,482925,6.21,YYYY-43-DD 07:43:SS,Monthly,6726825
1893,MKPY16332117766519,163572,7.29,YYYY-04-DD 23:04:SS,Daily,1309700
1894,MAKE80134288649969,868993,8.54,YYYY-35-DD 15:35:SS,Yearly,2617373
1895,GINF58064308979198,422976,5.78,YYYY-17-DD 13:17:SS,Monthly,9494089
1896,CCRH40503724909839,199969,7.95,YYYY-54-DD 17:54:SS,Yearly,9619270
1897,YMBR60445498765576,206878,8.82,YYYY-18-DD 13:18:SS,Daily,783624
1898,YDIP18628973982758,703529,5.53,YYYY-01-DD 10:01:SS,Yearly,3367524
1899,NXOS13786231075756,477532,7.18,YYYY-59-DD 02:59:SS,Half Yearly,6422827
1900,RUNX75647982535017,878409,6.48,YYYY-24-DD 20:24:SS,Yearly,7052177
1901,AFCW06839238647243,589209,8.18,YYYY-00-DD 21:00:SS,Half Yearly,7455494
1902,UEPS04550837470562,803273,6.49,YYYY-25-DD 14:25:SS,Weekly,2485346
1903,BMGA83861029625897,143917,7,YYYY-14-DD 00:14:SS,Yearly,4503673
1904,ZSMZ88986972544849,877993,8.3,YYYY-42-DD 23:42:SS,Weekly,1122329
1905,PMWN09449998768107,790912,6.86,YYYY-13-DD 08:13:SS,Half Yearly,6534018
1906,IDBG89076491002727,684557,7.1,YYYY-37-DD 15:37:SS,Half Yearly,9227075
1907,ONSQ24952173517384,657864,8.58,YYYY-59-DD 10:59:SS,Quarterly,657898
1908,OKIY48826572372066,431742,5.66,YYYY-47-DD 11:47:SS,Half Yearly,1120049
1909,SWOX34309038234572,375038,5.12,YYYY-42-DD 20:42:SS,Monthly,4650114
1910,RUQQ59809129808691,868760,6.95,YYYY-40-DD 01:40:SS,Yearly,2592653
1911,DDWL33836319153290,358361,5.2,YYYY-00-DD 16:00:SS,Daily,1533828
1912,CKQP02691510939586,758645,5.32,YYYY-49-DD 11:49:SS,Half Yearly,6436238
1913,ZRSG98912146316157,536784,6.56,YYYY-48-DD 11:48:SS,Quarterly,1425953
1914,LGJJ04320056171053,206025,8.59,YYYY-26-DD 04:26:SS,Quarterly,9683127
1915,XEJE63972159827496,11209,7.55,YYYY-35-DD 01:35:SS,Weekly,6433367
1916,QRZG42144272594806,718706,6.26,YYYY-40-DD 05:40:SS,Weekly,4822561
1917,PWBQ01558281993418,278843,7,YYYY-43-DD 21:43:SS,Weekly,4806540
1918,CDHA08634823305425,191450,8.11,YYYY-30-DD 02:30:SS,Half Yearly,3223888
1919,LBNR58250457837951,898874,5.3,YYYY-36-DD 05:36:SS,Half Yearly,930713
1920,EFLM13697090715522,27606,5.35,YYYY-30-DD 18:30:SS,Quarterly,42298
1921,RVYS54590149741462,185948,8.57,YYYY-58-DD 21:58:SS,Monthly,3982547
1922,DDWL33836319153290,169335,6.22,YYYY-11-DD 07:11:SS,Quarterly,1136629
1923,WDBT61114518149963,184344,6.6,YYYY-26-DD 22:26:SS,Half Yearly,1721605
1924,PTMU54909717444576,320703,8.44,YYYY-13-DD 14:13:SS,Daily,2521251
1925,CQLA79280828754614,633687,5.11,YYYY-53-DD 18:53:SS,Quarterly,9574341
1926,DBQD11928650148949,103952,5.35,YYYY-29-DD 20:29:SS,Quarterly,704264
1927,PHVQ73836764627313,322466,7.22,YYYY-11-DD 16:11:SS,Yearly,7915359
1928,EDQP91017025989801,361951,8.74,YYYY-33-DD 09:33:SS,Weekly,2011263
1929,EENY76459624621883,470756,5.84,YYYY-06-DD 11:06:SS,Daily,5401594
1930,UWNE38063992505211,761763,6.24,YYYY-46-DD 15:46:SS,Weekly,9327471
1931,YAVD40908857120101,909079,7.59,YYYY-37-DD 10:37:SS,Daily,4264288
1932,JGRE59230384080515,952960,7.26,YYYY-33-DD 05:33:SS,Yearly,952966
1933,RVCH54764483080106,648156,8.78,YYYY-25-DD 18:25:SS,Yearly,3951571
1934,OKHC48573841150307,311860,5.22,YYYY-28-DD 19:28:SS,Yearly,3557791
1935,JAJN15865803870659,933624,8.7,YYYY-10-DD 22:10:SS,Weekly,7771807
1936,YBWY35572326434177,728100,5.13,YYYY-44-DD 20:44:SS,Daily,6365438
1937,HPBB79610765944541,631451,6.57,YYYY-31-DD 09:31:SS,Half Yearly,7562380
1938,OVLH72515843247535,390970,5.8,YYYY-23-DD 03:23:SS,Weekly,7066466
1939,RGKK17028640297611,99534,8.51,YYYY-39-DD 18:39:SS,Yearly,1492549
1940,WWDA38631087624024,98919,8.2,YYYY-54-DD 15:54:SS,Half Yearly,5101734
1941,NJZI88128517044899,989049,7.9,YYYY-10-DD 02:10:SS,Yearly,6980702
1942,ELTA68115954151147,802169,5.28,YYYY-04-DD 16:04:SS,Daily,802197
1943,PUTF50584851388192,723101,6.22,YYYY-43-DD 23:43:SS,Weekly,6847944
1944,HEZE31870881307208,509732,7.81,YYYY-39-DD 22:39:SS,Quarterly,7560964
1945,LGBY46381004141607,952704,5.28,YYYY-19-DD 16:19:SS,Yearly,4535180
1946,OVXM26419069531091,63626,5.44,YYYY-59-DD 05:59:SS,Monthly,1744964
1947,PRGQ79361859852257,28348,5.73,YYYY-19-DD 07:19:SS,Monthly,3453534
1948,GDXM17705057337560,743479,5.64,YYYY-21-DD 14:21:SS,Monthly,8923206
1949,BFZI24803483631005,658441,8.15,YYYY-33-DD 09:33:SS,Quarterly,8723822
1950,DSYT91235407530131,546249,7.34,YYYY-03-DD 02:03:SS,Monthly,2577422
1951,QQGA69240243560619,282483,8.49,YYYY-57-DD 21:57:SS,Daily,9754699
1952,FUJR52502442743340,529454,7.33,YYYY-10-DD 12:10:SS,Half Yearly,1167036
1953,HFFJ87650584079971,233742,7.11,YYYY-28-DD 14:28:SS,Half Yearly,4650410
1954,CLPV28368363217484,582795,6.91,YYYY-00-DD 18:00:SS,Half Yearly,9352395
1955,OFFY47881034690586,144704,8.24,YYYY-05-DD 00:05:SS,Weekly,5967677
1956,QXZJ34200264597812,89667,5.2,YYYY-25-DD 23:25:SS,Monthly,6614047
1957,TGNB95213129187560,339509,8.2,YYYY-25-DD 23:25:SS,Quarterly,8494479
1958,RIHG93007560611126,155528,8.28,YYYY-31-DD 11:31:SS,Yearly,4210944
1959,VCID11986079899343,923138,7.97,YYYY-10-DD 08:10:SS,Yearly,3516893
1960,IGCZ18730879723751,744424,8.2,YYYY-45-DD 16:45:SS,Half Yearly,744433
1961,GYAC67128783878991,55323,7.66,YYYY-24-DD 22:24:SS,Weekly,6435547
1962,CQLQ58421696932505,556835,8.28,YYYY-01-DD 15:01:SS,Monthly,2124613
1963,OPQO81769972422697,456322,7.6,YYYY-34-DD 02:34:SS,Monthly,1298102
1964,AJMZ17557852851874,319788,5.7,YYYY-06-DD 18:06:SS,Weekly,6776751
1965,VMVH26864595205824,740934,7.95,YYYY-41-DD 16:41:SS,Half Yearly,4097024
1966,GRSN08161503445442,880663,7.4,YYYY-05-DD 19:05:SS,Quarterly,1139415
1967,GXST16337041928671,700155,5.5,YYYY-32-DD 04:32:SS,Daily,4673099
1968,IXSC95222038378496,319893,8.75,YYYY-31-DD 13:31:SS,Daily,9661388
1969,JUPO88601819066403,473471,5.95,YYYY-45-DD 19:45:SS,Monthly,1256431
1970,ZCMX38733151046579,729953,7.26,YYYY-54-DD 06:54:SS,Half Yearly,1714202
1971,ZSCL00515407665863,237287,7.34,YYYY-53-DD 20:53:SS,Quarterly,574736
1972,HOVE02766838191031,430319,7.61,YYYY-57-DD 20:57:SS,Half Yearly,623743
1973,XUOI75420167296255,510538,7.26,YYYY-34-DD 19:34:SS,Daily,7314552
1974,ISWB38065990643711,112129,8.56,YYYY-47-DD 15:47:SS,Quarterly,8276565
1975,CMBF77520004096510,221235,5.8,YYYY-37-DD 23:37:SS,Quarterly,500120
1976,HDSM83580443981830,653905,6.9,YYYY-21-DD 18:21:SS,Quarterly,4213358
1977,ZGJH51822492041544,289581,8.38,YYYY-47-DD 10:47:SS,Weekly,1842782
1978,PMWN09449998768107,304031,5.87,YYYY-00-DD 07:00:SS,Weekly,4971693
1979,NBRP91294424204821,946721,7.24,YYYY-42-DD 21:42:SS,Monthly,946734
1980,PEZP78773008606128,658881,5.1,YYYY-19-DD 23:19:SS,Yearly,7159538
1981,ZBLM62227791940761,271077,8.73,YYYY-34-DD 20:34:SS,Quarterly,8493415
1982,XIFL99847542816019,175314,7.7,YYYY-02-DD 23:02:SS,Yearly,8181188
1983,ZNDS58360347263021,822963,7.83,YYYY-05-DD 09:05:SS,Weekly,7688632
1984,BXFA04633257740233,121358,7.72,YYYY-26-DD 23:26:SS,Weekly,9683357
1985,XUVM22187477337901,282494,6.15,YYYY-23-DD 13:23:SS,Daily,9230620
1986,LJUA57658612763343,879712,7.87,YYYY-16-DD 17:16:SS,Quarterly,9121392
1987,JOXP26492190992415,42431,5,YYYY-53-DD 10:53:SS,Daily,5325728
1988,XDEW67102291650773,490292,8.87,YYYY-10-DD 16:10:SS,Half Yearly,7830493
1989,MSFM77333910326666,721810,6.59,YYYY-05-DD 12:05:SS,Half Yearly,4255881
1990,GSUO10116470602628,108397,5.51,YYYY-18-DD 01:18:SS,Weekly,4976080
1991,PVBO99698507086163,39702,8.97,YYYY-48-DD 11:48:SS,Daily,2900806
1992,QFUM11941776024583,544245,5.36,YYYY-42-DD 16:42:SS,Yearly,9011805
1993,XCCF11624826673171,78834,7.15,YYYY-44-DD 09:44:SS,Quarterly,8066386
1994,GLVY43290233349713,393681,8.22,YYYY-33-DD 09:33:SS,Monthly,6234350
1995,CHEQ54809613330126,985132,7.13,YYYY-46-DD 20:46:SS,Weekly,985159
1996,RFQZ96846443382029,306687,5.4,YYYY-11-DD 07:11:SS,Half Yearly,6037574
1997,XPHX42020333454287,987199,7.46,YYYY-07-DD 01:07:SS,Quarterly,3411818
1998,CUMP30797612563547,960256,7.63,YYYY-12-DD 12:12:SS,Yearly,5172052
1999,XGWL66850654721208,90759,6.86,YYYY-43-DD 12:43:SS,Weekly,6306953
2000,EPAH44146965360203,688967,7.48,YYYY-14-DD 21:14:SS,Yearly,989381
2001,GZWH15389842581562,686840,7.16,YYYY-44-DD 05:44:SS,Quarterly,3952384
2002,RSAY12472920568542,162168,6.93,YYYY-15-DD 16:15:SS,Weekly,5251772
2003,QTOE21627918342267,93052,6.33,YYYY-05-DD 00:05:SS,Quarterly,9795234
2004,HOBW46419963173504,129210,5.3,YYYY-56-DD 09:56:SS,Half Yearly,1937786
2005,EGOF86643391160426,258964,8.92,YYYY-49-DD 07:49:SS,Half Yearly,512523
2006,TKHC25677678251142,815876,6.16,YYYY-26-DD 04:26:SS,Yearly,3986533
2007,AMHW91050574172271,276553,5.98,YYYY-03-DD 11:03:SS,Yearly,7499293
2008,NTZA28619387618412,746989,8.98,YYYY-22-DD 11:22:SS,Half Yearly,6717854
2009,EEYF39468637250317,630294,7.95,YYYY-49-DD 04:49:SS,Monthly,3197309
2010,KNFY56840367824032,378640,7.2,YYYY-11-DD 07:11:SS,Daily,8896388
2011,XZBR49321433838530,776078,7.99,YYYY-55-DD 12:55:SS,Yearly,7439194
2012,IUPQ04312511976719,670729,8.39,YYYY-01-DD 05:01:SS,Yearly,4839950
2013,NMDB63337552693053,97145,7.84,YYYY-01-DD 12:01:SS,Quarterly,1605163
2014,SNUI22772063416379,49953,7.71,YYYY-20-DD 02:20:SS,Weekly,9090261
2015,RLYO75260596892660,488212,8.82,YYYY-04-DD 01:04:SS,Yearly,5632407
2016,ENQY53900478124876,132816,7.47,YYYY-14-DD 13:14:SS,Yearly,1476733
2017,DTEZ18102423816115,362853,7.5,YYYY-02-DD 18:02:SS,Daily,2469411
2018,VCID11986079899343,966903,7.7,YYYY-07-DD 13:07:SS,Monthly,2039319
2019,FAAG67635575451628,673181,5.14,YYYY-09-DD 02:09:SS,Daily,4189681
2020,LPNT86483547425398,318119,8,YYYY-04-DD 06:04:SS,Daily,4925236
2021,YBWY35572326434177,86983,5.6,YYYY-28-DD 12:28:SS,Monthly,3460240
2022,FFJP31150885077759,632801,7.66,YYYY-42-DD 00:42:SS,Yearly,1222696
2023,KDZO85299745652272,928572,8.57,YYYY-42-DD 01:42:SS,Yearly,1147547
2024,USNG00983533173734,254567,7.91,YYYY-29-DD 01:29:SS,Half Yearly,1618323
2025,UUIA80336062143022,982703,7.48,YYYY-12-DD 11:12:SS,Daily,1729618
2026,VRUC19303852850980,961633,7.33,YYYY-57-DD 07:57:SS,Half Yearly,2654121
2027,CQLA79280828754614,74244,8.99,YYYY-33-DD 16:33:SS,Weekly,1677851
2028,XDEW67102291650773,949441,6.62,YYYY-51-DD 07:51:SS,Daily,949444
2029,OQKU77592688067606,948487,5.53,YYYY-20-DD 01:20:SS,Weekly,948529
2030,SLGB26459540128420,641922,6.96,YYYY-48-DD 01:48:SS,Weekly,5037711
2031,HKGL18775931137232,943315,7.74,YYYY-29-DD 02:29:SS,Yearly,1345548
2032,NCNP15027876332144,571635,7.3,YYYY-16-DD 05:16:SS,Yearly,4653507
2033,YWNY16183952109762,262630,7.2,YYYY-51-DD 07:51:SS,Half Yearly,9103213
2034,DQIS96618196002093,693117,6.63,YYYY-29-DD 08:29:SS,Yearly,8350398
2035,DXXO14876621697131,672932,6.4,YYYY-54-DD 08:54:SS,Quarterly,9323826
2036,AABZ77599366845694,54169,6.3,YYYY-01-DD 16:01:SS,Daily,2257467
2037,XACZ05752583665318,801469,5.78,YYYY-23-DD 14:23:SS,Half Yearly,4393591
2038,BBCH92077746222146,643128,8.8,YYYY-04-DD 12:04:SS,Half Yearly,6940135
2039,ROGV78762227855974,172899,6.27,YYYY-26-DD 20:26:SS,Yearly,5699820
2040,IFQP27393512267856,105843,8.1,YYYY-18-DD 05:18:SS,Monthly,654049
2041,MKVX34642650764713,413563,5.81,YYYY-00-DD 01:00:SS,Weekly,8560824
2042,QMIO87227846335080,413332,6.42,YYYY-11-DD 23:11:SS,Half Yearly,5291492
2043,PXJP04306564441133,65572,8.69,YYYY-32-DD 03:32:SS,Daily,699295
