ACCOUNTID,CUSTOMERID,ACCOUNTTYPE,ACCOUNTBALANCE,ACCOUNTSTATUS,INTERESTRATE,OPENINGDATE,LASTTRANSACTIONDATE
KWED56983669344659,1598,Brokerage account,2122707,Frozen,5.81,YYYY-52-DD 07:52:SS,YYYY-26-DD 11:26:SS
VADK53398594350120,1351,Brokerage account,4837337,Frozen,9.34,YYYY-02-DD 19:02:SS,YYYY-28-DD 02:28:SS
FRDC75027099813850,2111,Individual retirement arrangement (IRA),2481745,Active,9.25,YYYY-35-DD 21:35:SS,YYYY-33-DD 04:33:SS
IAJH66523951852831,1102,Savings account,2113144,Closed,8.27,YYYY-52-DD 01:52:SS,YYYY-34-DD 04:34:SS
IKYA46367790746520,2211,Brokerage account,2005068,Closed,9.74,YYYY-50-DD 17:50:SS,YYYY-58-DD 04:58:SS
PPAF05880990951557,1373,Certificate of deposit (CD),3337753,Closed,5.8,YYYY-24-DD 03:24:SS,YYYY-30-DD 16:30:SS
SHUW59100076699185,2125,Brokerage account,2913925,Frozen,8.81,YYYY-47-DD 19:47:SS,YYYY-04-DD 15:04:SS
SJCW36864509248724,1889,Checking account,2175527,Active,8.95,YYYY-28-DD 09:28:SS,YYYY-38-DD 09:38:SS
XKAM17598857363179,1611,Brokerage account,4626063,Active,5.2,YYYY-28-DD 11:28:SS,YYYY-18-DD 01:18:SS
COEL62014544165291,2353,Individual retirement arrangement (IRA),3021638,Active,6.3,YYYY-52-DD 00:52:SS,YYYY-36-DD 10:36:SS
VVNF27310222812755,1037,Individual retirement arrangement (IRA),1259363,Closed,6.66,YYYY-29-DD 10:29:SS,YYYY-15-DD 01:15:SS
VVAG56618836511726,1386,Money market account,4882734,Frozen,5.92,YYYY-06-DD 03:06:SS,YYYY-24-DD 20:24:SS
ATMO61348851958681,1354,Money market account,1942540,Closed,5.92,YYYY-49-DD 05:49:SS,YYYY-22-DD 09:22:SS
COWO18208552126394,1885,Certificate of deposit (CD),981978,Closed,8.28,YYYY-51-DD 11:51:SS,YYYY-36-DD 08:36:SS
OVGA92000349431081,1869,Individual retirement arrangement (IRA),1890980,Frozen,7.85,YYYY-26-DD 03:26:SS,YYYY-26-DD 03:26:SS
QEYS16951527758995,1231,Certificate of deposit (CD),3441948,Active,8.9,YYYY-27-DD 16:27:SS,YYYY-43-DD 01:43:SS
FVMG10104509249090,2455,Individual retirement arrangement (IRA),3954864,Active,5.61,YYYY-04-DD 03:04:SS,YYYY-04-DD 03:04:SS
WZSE41783350493478,1782,Money market account,3946037,Closed,9.39,YYYY-34-DD 12:34:SS,YYYY-00-DD 09:00:SS
SEOS27054188729339,1781,Brokerage account,808549,Frozen,8.37,YYYY-37-DD 19:37:SS,YYYY-52-DD 08:52:SS
FWWV15830280402010,2192,Individual retirement arrangement (IRA),4948646,Active,8.96,YYYY-22-DD 16:22:SS,YYYY-00-DD 19:00:SS
SENN31362218451157,2288,Savings account,2922142,Closed,6.49,YYYY-24-DD 02:24:SS,YYYY-26-DD 01:26:SS
JOXV03854806751233,1014,Certificate of deposit (CD),1503921,Frozen,5.54,YYYY-12-DD 23:12:SS,YYYY-49-DD 12:49:SS
IIMA09307325333499,1249,Certificate of deposit (CD),4132352,Closed,7.16,YYYY-27-DD 21:27:SS,YYYY-20-DD 22:20:SS
MXHD10233893223674,1173,Savings account,2035044,Closed,9,YYYY-11-DD 00:11:SS,YYYY-30-DD 06:30:SS
YYVJ56283495311754,1069,Certificate of deposit (CD),4456818,Active,7.72,YYYY-07-DD 01:07:SS,YYYY-28-DD 04:28:SS
ZHVP19325926522979,1555,Savings account,1444881,Frozen,6.93,YYYY-44-DD 00:44:SS,YYYY-30-DD 07:30:SS
EZUC54171303384828,2018,Individual retirement arrangement (IRA),4383216,Active,8.81,YYYY-08-DD 01:08:SS,YYYY-29-DD 13:29:SS
PKCX67346419559055,2365,Brokerage account,1904061,Active,9.97,YYYY-17-DD 17:17:SS,YYYY-39-DD 02:39:SS
MNPH16237559717189,1031,Money market account,2634155,Closed,6.7,YYYY-31-DD 21:31:SS,YYYY-31-DD 21:31:SS
GDBS86203737270103,1557,Savings account,150619,Active,5.67,YYYY-39-DD 04:39:SS,YYYY-08-DD 21:08:SS
PRMK79105095204207,1049,Brokerage account,3317358,Closed,6.96,YYYY-29-DD 15:29:SS,YYYY-43-DD 10:43:SS
XIGI57601551784006,2321,Checking account,2400174,Active,8.63,YYYY-43-DD 04:43:SS,YYYY-08-DD 13:08:SS
XACS98958795121932,1114,Money market account,2279985,Frozen,7.35,YYYY-12-DD 05:12:SS,YYYY-40-DD 01:40:SS
JRAG45814583921142,2196,Checking account,4350732,Closed,9.3,YYYY-15-DD 23:15:SS,YYYY-34-DD 04:34:SS
EQJY11503148813078,1196,Brokerage account,4242239,Closed,6.16,YYYY-38-DD 01:38:SS,YYYY-58-DD 17:58:SS
XONN64189365159114,2003,Money market account,2228752,Frozen,7.47,YYYY-51-DD 22:51:SS,YYYY-13-DD 10:13:SS
JDEK03088356929743,1433,Individual retirement arrangement (IRA),3772077,Active,8,YYYY-08-DD 07:08:SS,YYYY-04-DD 12:04:SS
ZPVI75072036289021,1330,Savings account,4622196,Frozen,5.4,YYYY-19-DD 17:19:SS,YYYY-33-DD 17:33:SS
CCMB65909073241635,2408,Certificate of deposit (CD),4336790,Frozen,9.7,YYYY-03-DD 07:03:SS,YYYY-09-DD 12:09:SS
OLMJ69420423704932,1324,Savings account,1798880,Active,5.74,YYYY-11-DD 13:11:SS,YYYY-17-DD 09:17:SS
ZEPO38497484311333,2415,Checking account,3101149,Closed,9.19,YYYY-05-DD 07:05:SS,YYYY-33-DD 16:33:SS
UENI24208743291354,2185,Certificate of deposit (CD),3615141,Closed,8.97,YYYY-38-DD 18:38:SS,YYYY-38-DD 18:38:SS
ELPY85605807363585,2021,Checking account,115353,Active,6.15,YYYY-24-DD 07:24:SS,YYYY-04-DD 10:04:SS
CTDK78556804791353,1681,Checking account,3616459,Active,6.27,YYYY-21-DD 11:21:SS,YYYY-35-DD 22:35:SS
OKGY76709684917731,1532,Savings account,1492575,Active,5.16,YYYY-57-DD 06:57:SS,YYYY-01-DD 07:01:SS
NFQK18606949831599,2418,Certificate of deposit (CD),1835585,Closed,8.61,YYYY-06-DD 05:06:SS,YYYY-26-DD 18:26:SS
XHRB35540367835685,1022,Brokerage account,686122,Closed,5.14,YYYY-19-DD 02:19:SS,YYYY-44-DD 00:44:SS
PCTF46618104201809,1600,Checking account,574927,Active,9.29,YYYY-55-DD 12:55:SS,YYYY-32-DD 11:32:SS
VRYO55638076830282,2162,Individual retirement arrangement (IRA),3129203,Closed,5.32,YYYY-57-DD 16:57:SS,YYYY-21-DD 10:21:SS
RPIM31233035603825,1936,Certificate of deposit (CD),2691355,Closed,7.8,YYYY-35-DD 07:35:SS,YYYY-05-DD 01:05:SS
SRFU69020154473663,1955,Brokerage account,1742106,Closed,7.77,YYYY-55-DD 23:55:SS,YYYY-48-DD 11:48:SS
YNME41967801875636,1704,Checking account,3971956,Frozen,5.32,YYYY-48-DD 12:48:SS,YYYY-18-DD 03:18:SS
ZJQY30616458261858,2088,Certificate of deposit (CD),4103603,Closed,6.33,YYYY-34-DD 05:34:SS,YYYY-49-DD 02:49:SS
OHUS95939642913049,1651,Money market account,3672244,Closed,9.65,YYYY-54-DD 20:54:SS,YYYY-20-DD 21:20:SS
ELGO70913653083536,1298,Money market account,4647005,Closed,7.72,YYYY-27-DD 11:27:SS,YYYY-07-DD 01:07:SS
OWNI23462013070165,2367,Checking account,3702715,Frozen,5.8,YYYY-31-DD 04:31:SS,YYYY-26-DD 23:26:SS
KGPM82892329918386,2307,Brokerage account,950301,Closed,9.19,YYYY-06-DD 08:06:SS,YYYY-10-DD 01:10:SS
IZGA67910795700001,1956,Individual retirement arrangement (IRA),2251899,Frozen,7.76,YYYY-52-DD 22:52:SS,YYYY-52-DD 15:52:SS
ZFIG17851858786099,2176,Money market account,4921844,Active,6.11,YYYY-34-DD 05:34:SS,YYYY-49-DD 09:49:SS
KDUR70610143190176,1234,Money market account,4050595,Frozen,7.3,YYYY-00-DD 23:00:SS,YYYY-22-DD 02:22:SS
EKOT63566037300433,1560,Checking account,1183699,Active,7.12,YYYY-32-DD 08:32:SS,YYYY-40-DD 01:40:SS
YYBY64016662569802,2485,Checking account,2821409,Closed,8.94,YYYY-21-DD 16:21:SS,YYYY-18-DD 01:18:SS
DNQO40715449282169,1367,Money market account,3833147,Frozen,6.18,YYYY-20-DD 08:20:SS,YYYY-44-DD 22:44:SS
LCAJ71043569226606,1902,Certificate of deposit (CD),1122942,Closed,8.93,YYYY-45-DD 09:45:SS,YYYY-16-DD 11:16:SS
YXAR19542347984459,2449,Savings account,1883649,Closed,5.27,YYYY-35-DD 23:35:SS,YYYY-11-DD 09:11:SS
SVFB48129627308203,1442,Individual retirement arrangement (IRA),3372100,Active,7.79,YYYY-19-DD 06:19:SS,YYYY-03-DD 23:03:SS
BWDS14264980590901,2339,Individual retirement arrangement (IRA),787233,Closed,8.17,YYYY-42-DD 17:42:SS,YYYY-49-DD 16:49:SS
FLOH66689878490854,2444,Certificate of deposit (CD),2892859,Closed,8.85,YYYY-07-DD 05:07:SS,YYYY-50-DD 14:50:SS
CQPH00330647568667,2232,Brokerage account,4219110,Frozen,9.62,YYYY-29-DD 14:29:SS,YYYY-41-DD 06:41:SS
CPJG39873166301063,1239,Money market account,623969,Closed,8.43,YYYY-11-DD 12:11:SS,YYYY-39-DD 23:39:SS
VMOW51879132861239,2072,Money market account,1241668,Closed,6.24,YYYY-36-DD 13:36:SS,YYYY-22-DD 12:22:SS
BNSJ70586620502229,1250,Savings account,3125274,Frozen,9.98,YYYY-38-DD 14:38:SS,YYYY-51-DD 11:51:SS
RRUU93348219199688,1946,Checking account,2992003,Active,5.63,YYYY-23-DD 23:23:SS,YYYY-38-DD 16:38:SS
AEGF44183983578522,1371,Savings account,968782,Closed,8,YYYY-24-DD 17:24:SS,YYYY-12-DD 09:12:SS
STBD36177536892826,2236,Brokerage account,1099517,Closed,7.92,YYYY-51-DD 13:51:SS,YYYY-02-DD 20:02:SS
UCFV62379564681270,1330,Savings account,1341744,Frozen,8.3,YYYY-24-DD 09:24:SS,YYYY-19-DD 11:19:SS
YGUS17649388686406,1903,Checking account,1809902,Frozen,5.38,YYYY-42-DD 07:42:SS,YYYY-03-DD 22:03:SS
HGBH18921944393300,1502,Brokerage account,783409,Frozen,7.35,YYYY-42-DD 05:42:SS,YYYY-00-DD 14:00:SS
BIPB04374432875499,2388,Money market account,769947,Frozen,5.39,YYYY-49-DD 05:49:SS,YYYY-23-DD 18:23:SS
GQLW26914293890538,1237,Brokerage account,3962489,Closed,9.57,YYYY-35-DD 08:35:SS,YYYY-18-DD 14:18:SS
PWTS36635012958966,2051,Checking account,3829361,Frozen,9.31,YYYY-21-DD 16:21:SS,YYYY-19-DD 09:19:SS
FPRS99711138034292,2081,Individual retirement arrangement (IRA),4493323,Frozen,9.89,YYYY-03-DD 06:03:SS,YYYY-34-DD 13:34:SS
BZUO60748292131058,1457,Savings account,1032330,Closed,7.67,YYYY-14-DD 13:14:SS,YYYY-05-DD 01:05:SS
OPYU85318963206762,1817,Savings account,3041511,Closed,9.32,YYYY-37-DD 23:37:SS,YYYY-36-DD 08:36:SS
SHLI33803765934861,2053,Savings account,4389877,Active,6.1,YYYY-55-DD 02:55:SS,YYYY-19-DD 19:19:SS
DFTD65406932229419,2446,Brokerage account,4817758,Closed,6.55,YYYY-43-DD 15:43:SS,YYYY-12-DD 22:12:SS
YZEI27432903045896,1445,Money market account,3795657,Active,9.69,YYYY-31-DD 01:31:SS,YYYY-17-DD 03:17:SS
RALT07100872218711,1159,Savings account,696439,Active,6.2,YYYY-55-DD 11:55:SS,YYYY-40-DD 09:40:SS
UROI48456317063359,1786,Checking account,2151859,Frozen,6.63,YYYY-38-DD 09:38:SS,YYYY-24-DD 22:24:SS
LSXF84945926818615,2331,Individual retirement arrangement (IRA),4949614,Closed,8.87,YYYY-06-DD 09:06:SS,YYYY-27-DD 11:27:SS
IQOO42930103551909,1376,Money market account,950982,Frozen,7.27,YYYY-00-DD 13:00:SS,YYYY-34-DD 19:34:SS
NQDX37472047217631,2226,Savings account,867481,Closed,7.18,YYYY-55-DD 15:55:SS,YYYY-48-DD 19:48:SS
WKTS50811402898953,1194,Certificate of deposit (CD),3768878,Closed,8.89,YYYY-12-DD 07:12:SS,YYYY-13-DD 14:13:SS
WCCJ98880219755695,1352,Savings account,989169,Frozen,8.79,YYYY-51-DD 17:51:SS,YYYY-41-DD 15:41:SS
NJEB06274628338618,1481,Savings account,2357610,Frozen,7.2,YYYY-28-DD 09:28:SS,YYYY-38-DD 16:38:SS
LAHB60079023023924,1690,Brokerage account,2887303,Closed,5.19,YYYY-36-DD 22:36:SS,YYYY-32-DD 22:32:SS
VBTL86242926582130,1379,Savings account,1044703,Frozen,6.66,YYYY-52-DD 00:52:SS,YYYY-26-DD 22:26:SS
ZYMY23949816261502,1617,Money market account,2605302,Closed,5.77,YYYY-44-DD 18:44:SS,YYYY-18-DD 04:18:SS
GEVV34171521977861,1412,Individual retirement arrangement (IRA),4228210,Frozen,5.65,YYYY-06-DD 10:06:SS,YYYY-36-DD 21:36:SS
VHPA91434987470422,1100,Brokerage account,3481844,Frozen,9.65,YYYY-27-DD 12:27:SS,YYYY-23-DD 04:23:SS
RIER77364654231978,1584,Certificate of deposit (CD),1107118,Closed,8.9,YYYY-41-DD 03:41:SS,YYYY-26-DD 05:26:SS
WGTB03078187084961,1916,Brokerage account,221431,Frozen,8.25,YYYY-42-DD 23:42:SS,YYYY-46-DD 19:46:SS
ARHS83792102863171,1585,Money market account,1072646,Frozen,5.17,YYYY-43-DD 10:43:SS,YYYY-18-DD 20:18:SS
XJFV20791544083342,1700,Certificate of deposit (CD),2332404,Active,7.31,YYYY-58-DD 09:58:SS,YYYY-58-DD 09:58:SS
VUKL49588545244379,1213,Individual retirement arrangement (IRA),2819093,Active,8.44,YYYY-16-DD 22:16:SS,YYYY-50-DD 10:50:SS
DKOB78715253997838,1562,Certificate of deposit (CD),3182627,Frozen,7.2,YYYY-07-DD 04:07:SS,YYYY-32-DD 02:32:SS
AJLN76044985006127,1109,Money market account,4822407,Frozen,7.47,YYYY-12-DD 20:12:SS,YYYY-18-DD 21:18:SS
SUQV85793080458403,2013,Checking account,163350,Active,6.56,YYYY-46-DD 16:46:SS,YYYY-22-DD 09:22:SS
NREP16518944874878,1442,Checking account,2650902,Closed,5.49,YYYY-28-DD 06:28:SS,YYYY-22-DD 17:22:SS
IYUJ30038903974440,1127,Brokerage account,710926,Closed,7.37,YYYY-25-DD 06:25:SS,YYYY-20-DD 10:20:SS
ILBI93675688893697,1157,Brokerage account,4988858,Closed,6.69,YYYY-25-DD 20:25:SS,YYYY-54-DD 08:54:SS
TFGI25782268534046,1815,Certificate of deposit (CD),1145412,Closed,8.44,YYYY-33-DD 23:33:SS,YYYY-04-DD 03:04:SS
EFRL96957902381271,1073,Certificate of deposit (CD),557279,Closed,9.53,YYYY-03-DD 13:03:SS,YYYY-58-DD 12:58:SS
HMBT44456995882358,1861,Money market account,3068319,Frozen,5.6,YYYY-33-DD 09:33:SS,YYYY-29-DD 18:29:SS
VBHT94225677061886,2003,Brokerage account,574650,Closed,6.64,YYYY-34-DD 03:34:SS,YYYY-09-DD 17:09:SS
ZPJW82084970351964,1974,Brokerage account,4259785,Frozen,6.76,YYYY-32-DD 12:32:SS,YYYY-59-DD 16:59:SS
GLFW35260777140566,1385,Savings account,4889066,Frozen,5.73,YYYY-07-DD 22:07:SS,YYYY-07-DD 22:07:SS
IVPL34916020260963,1738,Brokerage account,2011903,Active,8.4,YYYY-44-DD 07:44:SS,YYYY-40-DD 01:40:SS
LIWM17647605491171,2415,Money market account,2231730,Active,9.54,YYYY-39-DD 16:39:SS,YYYY-18-DD 21:18:SS
FVSR33816642269114,1109,Money market account,621489,Closed,5.97,YYYY-07-DD 22:07:SS,YYYY-20-DD 05:20:SS
YUNX72443556110315,1419,Checking account,1626699,Active,6.86,YYYY-29-DD 13:29:SS,YYYY-06-DD 13:06:SS
VCRX18603521268097,2398,Savings account,1699002,Active,7.38,YYYY-25-DD 03:25:SS,YYYY-08-DD 11:08:SS
WSKW19607315644657,1292,Certificate of deposit (CD),2470295,Closed,7.88,YYYY-13-DD 13:13:SS,YYYY-58-DD 10:58:SS
XZTE53876969161937,2489,Checking account,2851486,Closed,8.57,YYYY-35-DD 19:35:SS,YYYY-01-DD 19:01:SS
ISVY40240674445297,2269,Checking account,2578730,Frozen,7.83,YYYY-10-DD 03:10:SS,YYYY-55-DD 13:55:SS
MJNY99132316132249,2250,Brokerage account,4487161,Closed,8.6,YYYY-51-DD 17:51:SS,YYYY-44-DD 10:44:SS
YLRG94722988218475,2377,Savings account,446190,Closed,9.17,YYYY-40-DD 03:40:SS,YYYY-52-DD 00:52:SS
XATY14113839976605,1418,Brokerage account,129501,Closed,9.4,YYYY-44-DD 00:44:SS,YYYY-38-DD 07:38:SS
WLWP57778979266989,2241,Certificate of deposit (CD),4147476,Closed,5.3,YYYY-27-DD 09:27:SS,YYYY-49-DD 22:49:SS
RFUI24221361086153,1500,Certificate of deposit (CD),1478658,Closed,7.63,YYYY-20-DD 00:20:SS,YYYY-50-DD 14:50:SS
QSLJ45970646662651,1549,Checking account,3755832,Frozen,5.94,YYYY-03-DD 22:03:SS,YYYY-15-DD 22:15:SS
ARWN08624332286762,2079,Brokerage account,2960406,Frozen,6.85,YYYY-03-DD 19:03:SS,YYYY-51-DD 19:51:SS
GQVY32982352074279,2395,Individual retirement arrangement (IRA),760877,Active,8.49,YYYY-33-DD 13:33:SS,YYYY-30-DD 20:30:SS
WWXO47439294167805,2495,Individual retirement arrangement (IRA),3212405,Frozen,8.3,YYYY-20-DD 13:20:SS,YYYY-06-DD 14:06:SS
AZRP65940170232696,2265,Savings account,878561,Closed,8,YYYY-08-DD 10:08:SS,YYYY-36-DD 22:36:SS
QKEH56094308441155,2381,Savings account,311571,Active,6,YYYY-57-DD 14:57:SS,YYYY-08-DD 03:08:SS
SRNX71304008024471,2017,Savings account,3022947,Active,6.89,YYYY-45-DD 00:45:SS,YYYY-22-DD 02:22:SS
ABNU18169351416454,1749,Money market account,3169644,Frozen,9.96,YYYY-22-DD 15:22:SS,YYYY-22-DD 12:22:SS
HSYR98464002996303,1749,Brokerage account,644161,Active,6.79,YYYY-32-DD 00:32:SS,YYYY-24-DD 01:24:SS
XRIT56150320412114,2115,Money market account,669812,Closed,9.67,YYYY-34-DD 02:34:SS,YYYY-16-DD 10:16:SS
AZNQ74452069765207,2294,Brokerage account,4805748,Closed,5.4,YYYY-23-DD 11:23:SS,YYYY-47-DD 19:47:SS
YRAE27812032862229,1657,Checking account,3019869,Frozen,6.4,YYYY-02-DD 04:02:SS,YYYY-59-DD 12:59:SS
TTWV59124347633737,2112,Certificate of deposit (CD),1464281,Frozen,5.8,YYYY-29-DD 11:29:SS,YYYY-42-DD 23:42:SS
ARWF33643915428709,2142,Checking account,1384274,Closed,7.97,YYYY-16-DD 04:16:SS,YYYY-31-DD 01:31:SS
ZEXH22596297552346,2259,Brokerage account,2639891,Active,6.94,YYYY-28-DD 05:28:SS,YYYY-29-DD 04:29:SS
CYEE50898226666160,1424,Checking account,1755004,Frozen,9.89,YYYY-41-DD 10:41:SS,YYYY-20-DD 19:20:SS
FKUG67439519759870,2310,Brokerage account,3910669,Active,7.44,YYYY-21-DD 04:21:SS,YYYY-07-DD 17:07:SS
AUDL09243425863321,1568,Brokerage account,2027596,Frozen,9.82,YYYY-06-DD 02:06:SS,YYYY-35-DD 18:35:SS
XYFM77396896323305,2015,Brokerage account,657619,Frozen,7.84,YYYY-38-DD 11:38:SS,YYYY-55-DD 03:55:SS
SBXY85132250214054,2318,Individual retirement arrangement (IRA),3772729,Closed,5.44,YYYY-49-DD 15:49:SS,YYYY-58-DD 04:58:SS
UWHU52509167940787,1407,Savings account,765848,Active,8.38,YYYY-47-DD 12:47:SS,YYYY-25-DD 19:25:SS
TUYD08653644555324,1058,Certificate of deposit (CD),1098770,Closed,5.44,YYYY-22-DD 17:22:SS,YYYY-45-DD 11:45:SS
JDLB39673058601659,1638,Brokerage account,2454525,Closed,5.59,YYYY-04-DD 01:04:SS,YYYY-45-DD 11:45:SS
LIBL75262054202738,2323,Individual retirement arrangement (IRA),2848577,Frozen,5.9,YYYY-14-DD 09:14:SS,YYYY-44-DD 15:44:SS
HTSE61777514340255,2155,Individual retirement arrangement (IRA),1986744,Frozen,5.7,YYYY-13-DD 17:13:SS,YYYY-24-DD 21:24:SS
EUFY18881935336824,1997,Savings account,4896857,Closed,7.14,YYYY-27-DD 06:27:SS,YYYY-34-DD 15:34:SS
CIMN46259855764875,1493,Checking account,1598650,Active,6.16,YYYY-36-DD 13:36:SS,YYYY-21-DD 19:21:SS
DRYD37991700014957,2000,Savings account,2383660,Frozen,7.23,YYYY-19-DD 09:19:SS,YYYY-41-DD 19:41:SS
ZDJP39885174018283,1363,Certificate of deposit (CD),3914324,Active,7.7,YYYY-00-DD 06:00:SS,YYYY-06-DD 01:06:SS
ERKE47267227349707,2118,Savings account,3672101,Frozen,8.53,YYYY-49-DD 16:49:SS,YYYY-19-DD 12:19:SS
FMBM98201051754131,2328,Individual retirement arrangement (IRA),4886123,Active,9.11,YYYY-21-DD 07:21:SS,YYYY-34-DD 16:34:SS
AQRA60524715407024,2413,Money market account,1406222,Active,5.85,YYYY-04-DD 08:04:SS,YYYY-37-DD 18:37:SS
YKND70976815401940,1884,Brokerage account,1452883,Closed,8.18,YYYY-33-DD 08:33:SS,YYYY-17-DD 04:17:SS
MWHY38895616612845,2447,Brokerage account,586780,Active,6.63,YYYY-01-DD 10:01:SS,YYYY-53-DD 11:53:SS
RDRT91193356377951,1288,Brokerage account,1662409,Closed,6.26,YYYY-39-DD 19:39:SS,YYYY-23-DD 03:23:SS
UFMB82912664603731,2289,Brokerage account,2258266,Frozen,7.18,YYYY-27-DD 13:27:SS,YYYY-28-DD 17:28:SS
XEZQ00680439717715,1268,Savings account,490894,Closed,7.88,YYYY-48-DD 09:48:SS,YYYY-31-DD 10:31:SS
UNDJ19843931167068,1217,Brokerage account,3793810,Closed,5.93,YYYY-12-DD 08:12:SS,YYYY-59-DD 02:59:SS
SQSH60380200250173,1081,Money market account,2249880,Frozen,8.84,YYYY-25-DD 20:25:SS,YYYY-08-DD 11:08:SS
YBCJ48742145377294,2316,Savings account,4607907,Frozen,7.93,YYYY-51-DD 15:51:SS,YYYY-05-DD 18:05:SS
UNKC59670340948009,1920,Brokerage account,3235092,Closed,7.7,YYYY-28-DD 09:28:SS,YYYY-27-DD 13:27:SS
RKPR37206660295273,1967,Savings account,1843367,Closed,8.92,YYYY-20-DD 21:20:SS,YYYY-20-DD 21:20:SS
DHKH23303323891053,1303,Checking account,4672649,Frozen,9.43,YYYY-58-DD 13:58:SS,YYYY-30-DD 19:30:SS
TSRA25979676544677,1666,Savings account,4556261,Frozen,7.22,YYYY-25-DD 15:25:SS,YYYY-09-DD 06:09:SS
WJWG15156238194183,1828,Savings account,2475279,Frozen,8.22,YYYY-39-DD 22:39:SS,YYYY-07-DD 09:07:SS
BTSI37571549126454,2228,Individual retirement arrangement (IRA),1251916,Closed,6.95,YYYY-02-DD 19:02:SS,YYYY-29-DD 01:29:SS
EAGQ76052859120917,2150,Individual retirement arrangement (IRA),3880028,Frozen,9.59,YYYY-21-DD 13:21:SS,YYYY-52-DD 21:52:SS
TZMT49933606312713,1172,Checking account,3027163,Closed,7.7,YYYY-51-DD 21:51:SS,YYYY-28-DD 19:28:SS
GBOT53164648014146,1935,Savings account,4889954,Frozen,6.72,YYYY-47-DD 17:47:SS,YYYY-42-DD 20:42:SS
IWTW98115802757779,1833,Individual retirement arrangement (IRA),3297871,Frozen,6.75,YYYY-23-DD 13:23:SS,YYYY-35-DD 05:35:SS
RUIP29210387639719,1100,Brokerage account,2413843,Closed,7.41,YYYY-57-DD 19:57:SS,YYYY-57-DD 19:57:SS
DRAO68978418467116,2357,Money market account,2692023,Frozen,9.12,YYYY-46-DD 00:46:SS,YYYY-27-DD 01:27:SS
JIKW86083398781733,1879,Checking account,4300105,Active,8.73,YYYY-02-DD 16:02:SS,YYYY-24-DD 23:24:SS
YSHD38365051298053,2100,Savings account,3386922,Active,5.25,YYYY-57-DD 05:57:SS,YYYY-13-DD 13:13:SS
EXDR24810019328413,1316,Savings account,3713507,Closed,9.25,YYYY-46-DD 20:46:SS,YYYY-02-DD 23:02:SS
QMFL20666907668986,2243,Money market account,4605118,Frozen,9.45,YYYY-43-DD 03:43:SS,YYYY-01-DD 19:01:SS
JLOG71765992543390,2303,Certificate of deposit (CD),4434767,Active,5.76,YYYY-41-DD 14:41:SS,YYYY-36-DD 21:36:SS
BCTI89483896251389,1168,Checking account,1128713,Active,9.37,YYYY-45-DD 19:45:SS,YYYY-21-DD 22:21:SS
RPFM74147264777992,2033,Certificate of deposit (CD),2354780,Frozen,7.84,YYYY-08-DD 21:08:SS,YYYY-16-DD 04:16:SS
WQDJ08503507842332,1994,Certificate of deposit (CD),4445436,Active,9.6,YYYY-54-DD 22:54:SS,YYYY-23-DD 11:23:SS
EJRL43065025357125,1187,Brokerage account,4368665,Active,7.47,YYYY-54-DD 17:54:SS,YYYY-57-DD 09:57:SS
RDPH82374522228638,1467,Certificate of deposit (CD),3318839,Closed,7.11,YYYY-10-DD 17:10:SS,YYYY-48-DD 06:48:SS
MXFN61866332548134,2141,Savings account,3562323,Active,8.97,YYYY-17-DD 06:17:SS,YYYY-36-DD 04:36:SS
TNNJ36982633995460,2182,Individual retirement arrangement (IRA),4826776,Closed,8.18,YYYY-27-DD 01:27:SS,YYYY-07-DD 08:07:SS
UWPB75277259087405,1846,Savings account,4967587,Active,7.81,YYYY-07-DD 18:07:SS,YYYY-11-DD 13:11:SS
HUZU15116130062746,2482,Brokerage account,3915260,Closed,5.69,YYYY-17-DD 23:17:SS,YYYY-26-DD 08:26:SS
BOQK93188175260569,2448,Certificate of deposit (CD),3873013,Active,6.21,YYYY-37-DD 17:37:SS,YYYY-30-DD 13:30:SS
FXEM48567761619671,1460,Checking account,1434690,Active,9.66,YYYY-56-DD 04:56:SS,YYYY-25-DD 00:25:SS
LQQS32478917169150,1223,Checking account,2798207,Frozen,9.16,YYYY-44-DD 06:44:SS,YYYY-02-DD 03:02:SS
GEVQ62852604710063,1912,Individual retirement arrangement (IRA),3974957,Active,8.79,YYYY-05-DD 11:05:SS,YYYY-36-DD 22:36:SS
CJJC33666731930193,1496,Individual retirement arrangement (IRA),625376,Closed,9.18,YYYY-58-DD 18:58:SS,YYYY-25-DD 06:25:SS
ECYW16741339778761,2250,Checking account,4661588,Closed,9.94,YYYY-23-DD 03:23:SS,YYYY-59-DD 17:59:SS
RLAS89926842907807,2199,Checking account,613549,Active,7.99,YYYY-49-DD 22:49:SS,YYYY-03-DD 23:03:SS
WSMR42539552698322,2055,Brokerage account,685450,Closed,5.52,YYYY-45-DD 12:45:SS,YYYY-10-DD 12:10:SS
VUIS98515576961863,2113,Brokerage account,1601257,Frozen,6.11,YYYY-16-DD 14:16:SS,YYYY-58-DD 12:58:SS
TARY77502815192859,2423,Individual retirement arrangement (IRA),3096498,Active,9.79,YYYY-15-DD 14:15:SS,YYYY-54-DD 06:54:SS
XKRT75111003592498,1599,Brokerage account,4398460,Closed,5.85,YYYY-15-DD 04:15:SS,YYYY-46-DD 16:46:SS
VLLX78958204100466,1514,Brokerage account,2923490,Active,8.73,YYYY-36-DD 16:36:SS,YYYY-10-DD 02:10:SS
