INVESTMENTACCOUNTID,CUSTOMERID,ACCOUNTTYPE,INVESTMENTSTATUS,INVESTMENTSTARTDATE,INVESTMENTENDDATE,RETURNS,INVESTMENTPORTFOLIO
AUXJ88555341932083,1720,Fixed Deposits,Active,YYYY-40-DD 19:40:SS,YYYY-40-DD 19:40:SS,8.3,54435988
SPVN28376882914829,1366,Mutual Funds,Closed,YYYY-09-DD 01:09:SS,YYYY-09-DD 01:09:SS,7.14,69500350
CBBO34852127547768,1217,Fixed Deposits,Active,YYYY-36-DD 01:36:SS,YYYY-27-DD 22:27:SS,17.46,06844486
POIJ44912140288703,1037,Stocks,Closed,YYYY-24-DD 16:24:SS,YYYY-24-DD 16:24:SS,17.14,13745509
COCI88805546809664,1311,Mutual Funds,Closed,YYYY-25-DD 15:25:SS,YYYY-57-DD 21:57:SS,16.28,23127012
FHJU85732210462876,1354,Fixed Deposits,Closed,YYYY-21-DD 22:21:SS,YYYY-50-DD 05:50:SS,6.12,47596030
RYQL88867269161310,1168,Stocks,Active,YYYY-10-DD 08:10:SS,YYYY-27-DD 11:27:SS,7.86,72440148
QYSJ66792938201581,1476,Mutual Funds,Closed,YYYY-53-DD 20:53:SS,YYYY-01-DD 23:01:SS,16.69,64281261
VRXJ08333956671361,1288,Fixed Deposits,Active,YYYY-11-DD 17:11:SS,YYYY-29-DD 17:29:SS,11.4,12175055
SRBW45396305607158,1954,Mutual Funds,Active,YYYY-13-DD 20:13:SS,YYYY-49-DD 22:49:SS,10.54,98933204
IGCZ18730879723751,1503,Mutual Funds,Closed,YYYY-58-DD 17:58:SS,YYYY-58-DD 17:58:SS,16.25,37669560
PSZH42472934107874,2114,Fixed Deposits,Active,YYYY-21-DD 17:21:SS,YYYY-21-DD 17:21:SS,19.3,25708936
DYTN00388913775132,2397,Stocks,Closed,YYYY-48-DD 06:48:SS,YYYY-15-DD 19:15:SS,15.3,15791368
CAUH82028442979986,1983,Fixed Deposits,Active,YYYY-18-DD 09:18:SS,YYYY-42-DD 10:42:SS,16.46,58168202
ULIW49236928583301,1964,Mutual Funds,Active,YYYY-48-DD 18:48:SS,YYYY-48-DD 18:48:SS,10.94,75060138
AMIW57770809318244,1112,Fixed Deposits,Active,YYYY-42-DD 02:42:SS,YYYY-00-DD 04:00:SS,13.4,85685413
MTRC58396700999484,2050,Stocks,Closed,YYYY-11-DD 20:11:SS,YYYY-09-DD 07:09:SS,9.78,57633848
DKAK25650757788059,2390,Mutual Funds,Closed,YYYY-57-DD 22:57:SS,YYYY-56-DD 02:56:SS,9.48,63394078
YVWN49050722892889,1098,Mutual Funds,Closed,YYYY-18-DD 03:18:SS,YYYY-15-DD 00:15:SS,13.4,82327279
MUKR00230002354732,2407,Stocks,Closed,YYYY-53-DD 23:53:SS,YYYY-24-DD 12:24:SS,13.58,66480174
RWSI00023304687182,2194,Mutual Funds,Closed,YYYY-40-DD 03:40:SS,YYYY-05-DD 22:05:SS,10.6,41454695
IUPQ04312511976719,1148,Mutual Funds,Closed,YYYY-13-DD 21:13:SS,YYYY-15-DD 03:15:SS,14.2,42171140
JQHD74442641420120,1454,Mutual Funds,Closed,YYYY-33-DD 08:33:SS,YYYY-21-DD 21:21:SS,12,80721147
TMHZ16955821353335,1860,Fixed Deposits,Active,YYYY-14-DD 17:14:SS,YYYY-39-DD 19:39:SS,19.1,66865407
IWDB19187031339949,1519,Fixed Deposits,Active,YYYY-13-DD 06:13:SS,YYYY-13-DD 06:13:SS,11.14,23263581
OERZ31449251969487,2225,Mutual Funds,Closed,YYYY-45-DD 08:45:SS,YYYY-45-DD 08:45:SS,11.33,21802034
YWAT44237612156202,2453,Fixed Deposits,Active,YYYY-11-DD 06:11:SS,YYYY-11-DD 06:11:SS,15.5,89772485
JCTK05336518905291,1445,Fixed Deposits,Closed,YYYY-59-DD 16:59:SS,YYYY-54-DD 11:54:SS,18.83,99761608
PIIN61251647755107,1555,Mutual Funds,Active,YYYY-51-DD 10:51:SS,YYYY-15-DD 22:15:SS,14.68,76091438
GWST69805183090779,2118,Stocks,Active,YYYY-26-DD 08:26:SS,YYYY-18-DD 13:18:SS,17.6,95392844
NBRP91294424204821,1893,Mutual Funds,Closed,YYYY-28-DD 20:28:SS,YYYY-51-DD 05:51:SS,9.5,15567314
QXOV95725876799249,1539,Fixed Deposits,Closed,YYYY-37-DD 01:37:SS,YYYY-08-DD 03:08:SS,5.39,62569354
GIIY69566920044516,1156,Stocks,Active,YYYY-47-DD 02:47:SS,YYYY-48-DD 07:48:SS,5.14,31345514
SJFA13864290255508,1518,Stocks,Closed,YYYY-37-DD 08:37:SS,YYYY-58-DD 10:58:SS,16.82,94276350
ITEM47408502506157,1431,Stocks,Closed,YYYY-31-DD 04:31:SS,YYYY-29-DD 02:29:SS,8.26,61917774
HGBN11260318826028,2429,Fixed Deposits,Closed,YYYY-20-DD 21:20:SS,YYYY-59-DD 09:59:SS,10.26,44006358
XBVN60338740266140,1037,Fixed Deposits,Closed,YYYY-44-DD 02:44:SS,YYYY-50-DD 04:50:SS,13.64,19449722
JDTR53830321264643,2394,Stocks,Active,YYYY-28-DD 21:28:SS,YYYY-28-DD 21:28:SS,15.52,78561137
GKDU56357354113910,2292,Fixed Deposits,Active,YYYY-42-DD 20:42:SS,YYYY-09-DD 17:09:SS,5.52,94831115
YRRS97296184743358,2233,Stocks,Closed,YYYY-03-DD 23:03:SS,YYYY-54-DD 01:54:SS,5.43,80320333
JXDZ60309760981493,1948,Stocks,Closed,YYYY-48-DD 21:48:SS,YYYY-02-DD 21:02:SS,9.23,24409742
NQST46132315477746,1872,Mutual Funds,Closed,YYYY-51-DD 09:51:SS,YYYY-41-DD 05:41:SS,9.1,58741498
TSGO84200551842203,1537,Mutual Funds,Closed,YYYY-08-DD 14:08:SS,YYYY-13-DD 05:13:SS,13.58,91525079
HNNF97545743164040,1061,Stocks,Active,YYYY-44-DD 20:44:SS,YYYY-23-DD 21:23:SS,16.79,97588818
WPUM67358882715342,2034,Stocks,Active,YYYY-21-DD 11:21:SS,YYYY-32-DD 17:32:SS,5.81,26763736
LBNR58250457837951,1945,Stocks,Closed,YYYY-36-DD 20:36:SS,YYYY-59-DD 12:59:SS,10.62,01330793
OFFY47881034690586,1032,Stocks,Active,YYYY-56-DD 21:56:SS,YYYY-56-DD 21:56:SS,9.81,29873418
UNGZ04672901908585,1663,Fixed Deposits,Closed,YYYY-06-DD 15:06:SS,YYYY-01-DD 01:01:SS,19.9,57184142
EVNM57838241717316,2423,Stocks,Closed,YYYY-39-DD 12:39:SS,YYYY-11-DD 00:11:SS,13.19,30655294
QASD65383442571955,1871,Fixed Deposits,Closed,YYYY-50-DD 06:50:SS,YYYY-40-DD 19:40:SS,8.37,90433801
GVHO66673138955969,2277,Fixed Deposits,Closed,YYYY-52-DD 00:52:SS,YYYY-36-DD 20:36:SS,6.36,40052991
VPWS59269121168912,1469,Fixed Deposits,Closed,YYYY-15-DD 23:15:SS,YYYY-54-DD 19:54:SS,6.55,91253446
PSSW37005471858061,1337,Stocks,Closed,YYYY-39-DD 00:39:SS,YYYY-19-DD 12:19:SS,7.7,24973618
SEBH26551257523412,1956,Stocks,Active,YYYY-24-DD 19:24:SS,YYYY-41-DD 19:41:SS,10.64,56566833
ZBCO67028469930733,1844,Fixed Deposits,Active,YYYY-22-DD 08:22:SS,YYYY-25-DD 10:25:SS,15.16,17273923
OXVF19571697807309,2116,Mutual Funds,Closed,YYYY-01-DD 21:01:SS,YYYY-17-DD 00:17:SS,18.42,79779906
VFEU31315018124626,2387,Mutual Funds,Active,YYYY-30-DD 11:30:SS,YYYY-39-DD 01:39:SS,11.33,69871542
OPBK37681567346552,2416,Stocks,Closed,YYYY-33-DD 10:33:SS,YYYY-32-DD 01:32:SS,7.87,48692052
OVLH72515843247535,2324,Fixed Deposits,Closed,YYYY-35-DD 00:35:SS,YYYY-46-DD 03:46:SS,12.97,80987765
HXHU13763447650140,2184,Mutual Funds,Closed,YYYY-52-DD 00:52:SS,YYYY-20-DD 11:20:SS,10.63,31365345
TIAP43403868119894,1121,Fixed Deposits,Closed,YYYY-08-DD 21:08:SS,YYYY-44-DD 11:44:SS,18.59,73425304
NIHT15176768290738,1103,Stocks,Closed,YYYY-23-DD 16:23:SS,YYYY-22-DD 03:22:SS,7.42,92705579
TATP20318107697868,2221,Fixed Deposits,Closed,YYYY-23-DD 06:23:SS,YYYY-23-DD 06:23:SS,17.26,80974284
YHGN71888280963558,2008,Stocks,Closed,YYYY-35-DD 10:35:SS,YYYY-16-DD 01:16:SS,12.94,86670746
FAUM44878284483466,1005,Mutual Funds,Active,YYYY-49-DD 19:49:SS,YYYY-41-DD 04:41:SS,19.37,80754244
ZDQM02212337144238,1360,Mutual Funds,Closed,YYYY-12-DD 18:12:SS,YYYY-14-DD 08:14:SS,15.65,91990075
VVRC88544360740130,1999,Mutual Funds,Active,YYYY-35-DD 15:35:SS,YYYY-35-DD 15:35:SS,7.77,74163298
JVUW01655079512116,1140,Mutual Funds,Active,YYYY-16-DD 23:16:SS,YYYY-00-DD 13:00:SS,12.76,42341383
XRDW65964429153926,2337,Mutual Funds,Active,YYYY-10-DD 15:10:SS,YYYY-10-DD 15:10:SS,8.1,34208434
GDTW38956188328466,1400,Fixed Deposits,Closed,YYYY-46-DD 23:46:SS,YYYY-18-DD 09:18:SS,15.25,06845988
PAZH68682878047197,2267,Fixed Deposits,Closed,YYYY-58-DD 15:58:SS,YYYY-10-DD 12:10:SS,14.33,10618103
PJZG73620058661453,2002,Fixed Deposits,Active,YYYY-14-DD 07:14:SS,YYYY-43-DD 19:43:SS,8.76,04722830
XWOQ53515211392860,1741,Stocks,Active,YYYY-15-DD 17:15:SS,YYYY-42-DD 00:42:SS,11.37,29129539
XBUU23252404220039,1857,Stocks,Closed,YYYY-10-DD 10:10:SS,YYYY-31-DD 06:31:SS,18.88,30394070
RRGD75786549214329,1228,Mutual Funds,Active,YYYY-50-DD 19:50:SS,YYYY-28-DD 00:28:SS,16.35,45657399
JOLE63650662336458,1770,Stocks,Closed,YYYY-35-DD 13:35:SS,YYYY-38-DD 06:38:SS,11.49,03841679
PJRU85004250144084,2214,Stocks,Closed,YYYY-03-DD 22:03:SS,YYYY-24-DD 20:24:SS,19.37,77406101
AYSO56051968196849,2083,Stocks,Closed,YYYY-39-DD 09:39:SS,YYYY-47-DD 22:47:SS,10.98,69169823
YFBH17218789093727,1168,Stocks,Closed,YYYY-09-DD 14:09:SS,YYYY-19-DD 15:19:SS,19.64,93345088
WCUB40006677828808,1180,Fixed Deposits,Closed,YYYY-34-DD 01:34:SS,YYYY-25-DD 05:25:SS,5.3,68975005
HFJJ96844469764165,1306,Stocks,Closed,YYYY-13-DD 05:13:SS,YYYY-00-DD 02:00:SS,15.95,87554427
EFLM13697090715522,1068,Stocks,Active,YYYY-07-DD 15:07:SS,YYYY-04-DD 04:04:SS,11.48,43675265
WWIL58463713771640,1939,Mutual Funds,Closed,YYYY-41-DD 12:41:SS,YYYY-41-DD 12:41:SS,8.92,40489810
PKKL00630120899165,1847,Fixed Deposits,Closed,YYYY-24-DD 21:24:SS,YYYY-59-DD 02:59:SS,14.92,16278431
HWXA89164613044061,1667,Stocks,Active,YYYY-04-DD 14:04:SS,YYYY-04-DD 14:04:SS,17.26,31476263
OVXM26419069531091,1830,Stocks,Closed,YYYY-11-DD 20:11:SS,YYYY-34-DD 09:34:SS,12.36,25595253
UBZX87647865692464,2106,Mutual Funds,Active,YYYY-16-DD 16:16:SS,YYYY-45-DD 16:45:SS,12.87,91306579
OQCH19787001048949,1412,Fixed Deposits,Closed,YYYY-16-DD 14:16:SS,YYYY-59-DD 20:59:SS,8.95,31646192
BUGF91287604608515,1091,Stocks,Active,YYYY-26-DD 14:26:SS,YYYY-10-DD 21:10:SS,18.46,74137817
YUFS30753629321595,2375,Mutual Funds,Active,YYYY-29-DD 20:29:SS,YYYY-39-DD 09:39:SS,15.15,04023838
MMYG25642363341196,2041,Stocks,Active,YYYY-28-DD 02:28:SS,YYYY-54-DD 07:54:SS,16.39,97411529
POHJ18525930784618,1402,Mutual Funds,Closed,YYYY-19-DD 09:19:SS,YYYY-19-DD 09:19:SS,7.53,63984132
NNBD97885416282104,1164,Stocks,Active,YYYY-28-DD 06:28:SS,YYYY-28-DD 06:28:SS,13.81,74779048
RHJL52504507312402,1421,Stocks,Closed,YYYY-35-DD 23:35:SS,YYYY-12-DD 15:12:SS,14.73,86718271
HRIJ82439371784623,1840,Fixed Deposits,Closed,YYYY-33-DD 19:33:SS,YYYY-09-DD 17:09:SS,10.9,73561026
FPER68132848405276,2384,Stocks,Closed,YYYY-52-DD 07:52:SS,YYYY-45-DD 08:45:SS,11.23,63764109
EXSC55158781704880,1555,Stocks,Closed,YYYY-57-DD 19:57:SS,YYYY-33-DD 06:33:SS,10.19,20113131
UGNA07850232415179,1257,Mutual Funds,Active,YYYY-34-DD 22:34:SS,YYYY-13-DD 08:13:SS,14.26,88017662
ABUT40633409519813,1662,Mutual Funds,Active,YYYY-27-DD 07:27:SS,YYYY-02-DD 03:02:SS,14.2,73924074
OTKW74763312883071,1156,Fixed Deposits,Active,YYYY-28-DD 19:28:SS,YYYY-06-DD 01:06:SS,17.58,68029753
CSBD28970375408960,1001,Stocks,Closed,YYYY-56-DD 11:56:SS,YYYY-42-DD 02:42:SS,14.69,51174163
WZWX03466325416815,2001,Mutual Funds,Active,YYYY-09-DD 21:09:SS,YYYY-21-DD 12:21:SS,6.32,42681557
ODHM24179959802536,1619,Mutual Funds,Closed,YYYY-02-DD 12:02:SS,YYYY-04-DD 17:04:SS,5.7,21451485
YXHJ45702386130594,2231,Fixed Deposits,Active,YYYY-48-DD 06:48:SS,YYYY-58-DD 08:58:SS,15.3,35945604
DSDO78044603224275,1382,Stocks,Closed,YYYY-42-DD 11:42:SS,YYYY-10-DD 13:10:SS,10.45,83641152
OERY35235793310673,2196,Stocks,Active,YYYY-44-DD 04:44:SS,YYYY-48-DD 09:48:SS,19.42,60265791
KYVO23914874523063,1203,Stocks,Active,YYYY-38-DD 20:38:SS,YYYY-18-DD 11:18:SS,13.46,33500447
ZEZV08957276105412,2120,Stocks,Active,YYYY-38-DD 23:38:SS,YYYY-23-DD 13:23:SS,5.93,39668202
UJRQ13030267122913,1549,Mutual Funds,Active,YYYY-55-DD 00:55:SS,YYYY-41-DD 15:41:SS,6.65,67220519
SROO48760416528015,1735,Fixed Deposits,Closed,YYYY-20-DD 12:20:SS,YYYY-07-DD 02:07:SS,6.15,69538896
WJBU25802431934254,2376,Mutual Funds,Active,YYYY-50-DD 22:50:SS,YYYY-50-DD 22:50:SS,17.37,96728451
CWIV12460345974710,2023,Fixed Deposits,Closed,YYYY-03-DD 13:03:SS,YYYY-08-DD 22:08:SS,17.88,26941318
DSYT91235407530131,1921,Fixed Deposits,Closed,YYYY-08-DD 06:08:SS,YYYY-56-DD 05:56:SS,10.72,49707052
CQKY06279545911527,1107,Stocks,Closed,YYYY-04-DD 07:04:SS,YYYY-26-DD 10:26:SS,19.28,19809205
BPAZ87283332837605,1674,Fixed Deposits,Closed,YYYY-36-DD 13:36:SS,YYYY-08-DD 03:08:SS,7.29,83785696
QMEM55526198450363,2127,Fixed Deposits,Closed,YYYY-02-DD 09:02:SS,YYYY-35-DD 14:35:SS,10.99,87204742
GKJT17279924288438,2332,Stocks,Closed,YYYY-40-DD 07:40:SS,YYYY-40-DD 15:40:SS,19.86,15916297
RSDB80135025770098,1269,Stocks,Active,YYYY-29-DD 23:29:SS,YYYY-10-DD 01:10:SS,18.1,49436006
ZDPN35261319648774,2493,Fixed Deposits,Closed,YYYY-45-DD 13:45:SS,YYYY-28-DD 10:28:SS,18.4,52086038
YYGT63517258925993,1714,Fixed Deposits,Active,YYYY-43-DD 19:43:SS,YYYY-31-DD 01:31:SS,10.8,49547290
URLZ03344674596281,2021,Stocks,Closed,YYYY-34-DD 10:34:SS,YYYY-02-DD 12:02:SS,5.3,73889861
SUVG81879117313626,1076,Stocks,Active,YYYY-10-DD 15:10:SS,YYYY-29-DD 08:29:SS,10.5,62121286
SBQR21571733019056,1829,Mutual Funds,Active,YYYY-56-DD 02:56:SS,YYYY-48-DD 00:48:SS,19.3,42829638
OBTD84995549256774,1818,Fixed Deposits,Closed,YYYY-53-DD 20:53:SS,YYYY-53-DD 20:53:SS,11.45,90006432
XJCR14230261045697,2128,Mutual Funds,Active,YYYY-59-DD 23:59:SS,YYYY-09-DD 17:09:SS,18.27,55835190
MBLN45346890968719,1409,Mutual Funds,Closed,YYYY-28-DD 04:28:SS,YYYY-31-DD 07:31:SS,14.8,60034250
INNY88502705241817,1291,Mutual Funds,Closed,YYYY-26-DD 07:26:SS,YYYY-58-DD 18:58:SS,6.65,23683730
NZOO82935828996981,1157,Stocks,Closed,YYYY-53-DD 09:53:SS,YYYY-08-DD 05:08:SS,8.53,49539721
HPBF58865429751800,2182,Stocks,Active,YYYY-16-DD 13:16:SS,YYYY-16-DD 02:16:SS,18.29,43712571
VNBR84269467355299,2259,Mutual Funds,Closed,YYYY-59-DD 04:59:SS,YYYY-06-DD 16:06:SS,5.96,38518638
NPII22064862395249,1537,Fixed Deposits,Active,YYYY-49-DD 23:49:SS,YYYY-16-DD 19:16:SS,19.71,58757086
IYSV37785220200141,2186,Fixed Deposits,Closed,YYYY-33-DD 08:33:SS,YYYY-55-DD 02:55:SS,13.84,03643013
ZGJH51822492041544,1017,Stocks,Active,YYYY-31-DD 10:31:SS,YYYY-27-DD 20:27:SS,13.54,00826051
UKGT36678012264540,1177,Fixed Deposits,Closed,YYYY-49-DD 08:49:SS,YYYY-56-DD 09:56:SS,6.9,38531651
MGJB67510190876115,2141,Fixed Deposits,Closed,YYYY-09-DD 19:09:SS,YYYY-09-DD 19:09:SS,15.77,21782152
AIRP34465980297997,1217,Mutual Funds,Active,YYYY-09-DD 14:09:SS,YYYY-59-DD 09:59:SS,7.44,56112610
KDVY28641612647014,1237,Mutual Funds,Closed,YYYY-50-DD 19:50:SS,YYYY-22-DD 21:22:SS,9.91,12511969
KDZO85299745652272,2121,Mutual Funds,Active,YYYY-12-DD 20:12:SS,YYYY-56-DD 02:56:SS,13.78,78602731
RDRE05120220996497,2258,Mutual Funds,Active,YYYY-20-DD 10:20:SS,YYYY-05-DD 19:05:SS,17.5,58555446
DOMG89716655255344,1780,Fixed Deposits,Active,YYYY-50-DD 21:50:SS,YYYY-51-DD 03:51:SS,5.67,12038152
NTQX68537779325843,1606,Stocks,Active,YYYY-25-DD 17:25:SS,YYYY-16-DD 12:16:SS,9.3,12667918
RWTY52231645047557,1152,Mutual Funds,Closed,YYYY-23-DD 10:23:SS,YYYY-23-DD 10:23:SS,18.25,13297428
MXDZ21993488216680,1390,Fixed Deposits,Closed,YYYY-31-DD 07:31:SS,YYYY-21-DD 14:21:SS,14.84,96395226
FFJP31150885077759,2175,Fixed Deposits,Closed,YYYY-59-DD 10:59:SS,YYYY-10-DD 06:10:SS,9.73,08360212
NNIJ10664130122024,2402,Mutual Funds,Closed,YYYY-51-DD 18:51:SS,YYYY-53-DD 12:53:SS,10.83,02537825
OBXH35900729831149,1204,Fixed Deposits,Active,YYYY-00-DD 12:00:SS,YYYY-48-DD 09:48:SS,14.4,86429931
SXKL10326058990825,1953,Mutual Funds,Active,YYYY-52-DD 15:52:SS,YYYY-54-DD 09:54:SS,17.32,50667031
EHFB22534204728917,2195,Stocks,Closed,YYYY-42-DD 14:42:SS,YYYY-53-DD 22:53:SS,17.16,53125316
HLWG69571072859894,1105,Mutual Funds,Active,YYYY-21-DD 08:21:SS,YYYY-53-DD 08:53:SS,17.96,54998506
YQJF79923339936563,2427,Fixed Deposits,Closed,YYYY-15-DD 07:15:SS,YYYY-15-DD 12:15:SS,14.74,10999127
NSTW92057726656410,1323,Fixed Deposits,Active,YYYY-00-DD 09:00:SS,YYYY-37-DD 01:37:SS,18.13,62743297
VPZP65327517649103,2059,Mutual Funds,Closed,YYYY-12-DD 10:12:SS,YYYY-06-DD 08:06:SS,12.4,03620052
PAPK64440227503596,1309,Stocks,Closed,YYYY-41-DD 22:41:SS,YYYY-37-DD 09:37:SS,19.29,52443466
QPNK74680150710396,1158,Mutual Funds,Active,YYYY-40-DD 22:40:SS,YYYY-24-DD 01:24:SS,7.88,55027748
YVXT90204559142490,2012,Stocks,Closed,YYYY-32-DD 11:32:SS,YYYY-12-DD 04:12:SS,16.69,00864237
VFIP74840496301006,1567,Stocks,Closed,YYYY-48-DD 04:48:SS,YYYY-11-DD 03:11:SS,8.8,72935897
IZFW36140666800131,1987,Stocks,Active,YYYY-07-DD 03:07:SS,YYYY-44-DD 01:44:SS,13.38,96418338
SDPY95268952018655,1505,Stocks,Closed,YYYY-01-DD 01:01:SS,YYYY-01-DD 01:01:SS,17.1,77128478
UIFP01460971191076,2431,Stocks,Closed,YYYY-31-DD 23:31:SS,YYYY-02-DD 17:02:SS,7.75,02296265
DCWY56554059009561,1622,Mutual Funds,Active,YYYY-53-DD 16:53:SS,YYYY-05-DD 10:05:SS,17.9,05965502
NQQX02798433925922,2085,Fixed Deposits,Closed,YYYY-05-DD 22:05:SS,YYYY-05-DD 22:05:SS,17.9,67840649
HPDB95467828236480,1311,Fixed Deposits,Closed,YYYY-35-DD 08:35:SS,YYYY-17-DD 20:17:SS,6.63,00419970
PVDS58852655234518,1442,Mutual Funds,Active,YYYY-05-DD 23:05:SS,YYYY-21-DD 09:21:SS,16.93,97472193
GHQU52607369554401,1030,Stocks,Active,YYYY-09-DD 12:09:SS,YYYY-10-DD 05:10:SS,19.96,80092247
NOGD16191655019392,2488,Stocks,Closed,YYYY-16-DD 16:16:SS,YYYY-26-DD 11:26:SS,6.24,65677988
XJPR14772266552712,1419,Stocks,Active,YYYY-13-DD 22:13:SS,YYYY-13-DD 22:13:SS,6.23,82906610
LPVJ19321532108499,1308,Fixed Deposits,Closed,YYYY-40-DD 21:40:SS,YYYY-40-DD 20:40:SS,14.57,77034014
GYXU87028005541526,1096,Stocks,Closed,YYYY-08-DD 20:08:SS,YYYY-59-DD 02:59:SS,8.71,62825474
ICTG16379725417552,1751,Stocks,Active,YYYY-26-DD 14:26:SS,YYYY-26-DD 14:26:SS,16.2,62327350
FSAA29315889074984,1666,Mutual Funds,Active,YYYY-46-DD 17:46:SS,YYYY-46-DD 17:46:SS,9.42,46708267
ISWM54893516002487,1806,Stocks,Closed,YYYY-30-DD 01:30:SS,YYYY-25-DD 19:25:SS,17.93,35262022
WENE11617854100691,1412,Stocks,Closed,YYYY-00-DD 03:00:SS,YYYY-43-DD 08:43:SS,14.12,86806978
WVNK66739411658332,2322,Fixed Deposits,Active,YYYY-14-DD 06:14:SS,YYYY-20-DD 20:20:SS,16.82,01954135
OIZZ34046761039651,2377,Mutual Funds,Active,YYYY-30-DD 17:30:SS,YYYY-52-DD 06:52:SS,17.11,69120879
MUFX89709946509580,1386,Mutual Funds,Closed,YYYY-50-DD 14:50:SS,YYYY-07-DD 06:07:SS,18.79,96515891
XGXW06567792221097,1540,Fixed Deposits,Active,YYYY-07-DD 15:07:SS,YYYY-55-DD 16:55:SS,9.17,62354653
RJPK40521539708431,2251,Stocks,Closed,YYYY-13-DD 20:13:SS,YYYY-49-DD 00:49:SS,5.21,17608329
XUOI75420167296255,1224,Fixed Deposits,Active,YYYY-18-DD 00:18:SS,YYYY-47-DD 19:47:SS,5.29,46046192
ESRM58990009089009,1527,Mutual Funds,Active,YYYY-23-DD 20:23:SS,YYYY-23-DD 23:23:SS,15.47,59154679
YFSG86973367220153,1741,Fixed Deposits,Closed,YYYY-02-DD 18:02:SS,YYYY-39-DD 17:39:SS,5.84,87964363
CQLA79280828754614,1320,Mutual Funds,Closed,YYYY-52-DD 21:52:SS,YYYY-31-DD 11:31:SS,8.93,39226105
JTZN94116705920407,1297,Fixed Deposits,Active,YYYY-20-DD 19:20:SS,YYYY-50-DD 20:50:SS,5.71,71324272
HFPN94592248305632,1567,Fixed Deposits,Closed,YYYY-46-DD 02:46:SS,YYYY-56-DD 17:56:SS,15.96,09767768
MIYF63156942326399,2320,Mutual Funds,Active,YYYY-15-DD 16:15:SS,YYYY-29-DD 23:29:SS,5.86,14194054
DIOB61309201069301,1928,Fixed Deposits,Closed,YYYY-20-DD 03:20:SS,YYYY-07-DD 11:07:SS,7.41,32503531
ULED69462862024024,1237,Stocks,Active,YYYY-52-DD 20:52:SS,YYYY-52-DD 20:52:SS,19.47,28337041
QJVG68388896069732,2457,Fixed Deposits,Closed,YYYY-42-DD 05:42:SS,YYYY-01-DD 15:01:SS,17.97,68867966
SNUI22772063416379,2064,Mutual Funds,Active,YYYY-05-DD 20:05:SS,YYYY-26-DD 13:26:SS,10.13,38893964
CDZH38357975903980,1194,Fixed Deposits,Closed,YYYY-22-DD 21:22:SS,YYYY-22-DD 21:22:SS,15.31,98503476
QPOL42021468802253,1702,Stocks,Closed,YYYY-14-DD 10:14:SS,YYYY-15-DD 01:15:SS,16.48,26124421
HUQQ85819179505722,2354,Stocks,Active,YYYY-28-DD 08:28:SS,YYYY-48-DD 22:48:SS,9.64,27489161
DYSZ57577835005908,1035,Fixed Deposits,Closed,YYYY-14-DD 00:14:SS,YYYY-14-DD 00:14:SS,10.62,35709923
MWNW98393736356074,1978,Mutual Funds,Closed,YYYY-09-DD 20:09:SS,YYYY-30-DD 06:30:SS,5.35,81215959
SRAD00677052117439,2089,Fixed Deposits,Active,YYYY-27-DD 11:27:SS,YYYY-06-DD 13:06:SS,11.54,57092645
DTEZ18102423816115,2021,Stocks,Closed,YYYY-24-DD 06:24:SS,YYYY-55-DD 15:55:SS,12.5,83807305
BCHW49786475015804,1466,Fixed Deposits,Closed,YYYY-21-DD 18:21:SS,YYYY-21-DD 18:21:SS,18.64,58118993
QIFN38270514043080,2328,Fixed Deposits,Closed,YYYY-42-DD 16:42:SS,YYYY-49-DD 19:49:SS,15.6,80124573
GRHI86210122453331,1260,Mutual Funds,Closed,YYYY-10-DD 23:10:SS,YYYY-06-DD 00:06:SS,19.88,61046399
MTZG14898080581675,2189,Fixed Deposits,Active,YYYY-47-DD 17:47:SS,YYYY-30-DD 03:30:SS,9.55,50329892
UWXN25047347536990,1250,Fixed Deposits,Closed,YYYY-34-DD 13:34:SS,YYYY-06-DD 22:06:SS,6.27,80208341
LJUA57658612763343,1786,Fixed Deposits,Active,YYYY-50-DD 20:50:SS,YYYY-20-DD 11:20:SS,16.9,80212232
AABZ77599366845694,1689,Fixed Deposits,Closed,YYYY-09-DD 23:09:SS,YYYY-31-DD 01:31:SS,19.72,62446310
RLYO75260596892660,1007,Mutual Funds,Closed,YYYY-33-DD 16:33:SS,YYYY-52-DD 16:52:SS,12.46,81529988
DEJK78240151396495,2174,Mutual Funds,Active,YYYY-54-DD 06:54:SS,YYYY-33-DD 10:33:SS,14.99,00534260
DTDV10607008984856,2311,Mutual Funds,Closed,YYYY-26-DD 13:26:SS,YYYY-21-DD 21:21:SS,18.11,91145598
IEEB94983333949661,1334,Mutual Funds,Active,YYYY-28-DD 22:28:SS,YYYY-28-DD 22:28:SS,6.85,42350750
MCNM19048451020685,2358,Mutual Funds,Active,YYYY-05-DD 10:05:SS,YYYY-09-DD 15:09:SS,6.75,06057312
MRIJ45887337725237,1802,Stocks,Closed,YYYY-38-DD 06:38:SS,YYYY-37-DD 22:37:SS,6.4,05727674
VMVH26864595205824,1077,Fixed Deposits,Active,YYYY-57-DD 16:57:SS,YYYY-59-DD 14:59:SS,15.91,64905815
VAYU39062677360229,1043,Stocks,Closed,YYYY-58-DD 14:58:SS,YYYY-23-DD 13:23:SS,16.2,01811469
